month,state,sessions
2024-06,Unknown,1078
2024-06,Alabama,8
2024-06,Arizona,27
2024-06,Arkansas,3
2024-06,California,783
2024-06,Colorado,55
2024-06,Connecticut,10
2024-06,Delaware,7
2024-06,District of Columbia,54
2024-06,Florida,94
2024-06,Georgia,35
2024-06,Hawaii,3
2024-06,Idaho,10
2024-06,Illinois,63
2024-06,Indiana,14
2024-06,Iowa,2986
2024-06,Kansas,6
2024-06,Kentucky,5
2024-06,Louisiana,7
2024-06,Maine,5
2024-06,Maryland,15
2024-06,Massachusetts,26
2024-06,Michigan,23
2024-06,Minnesota,16
2024-06,Mississippi,3
2024-06,Missouri,18
2024-06,Montana,1
2024-06,Nebraska,4
2024-06,Nevada,32
2024-06,New Hampshire,2
2024-06,New Jersey,65
2024-06,New York,343
2024-06,North Carolina,172
2024-06,Ohio,42
2024-06,Oklahoma,11
2024-06,Oregon,351
2024-06,Pennsylvania,45
2024-06,Rhode Island,1
2024-06,South Carolina,118
2024-06,Tennessee,16
2024-06,Texas,352
2024-06,Utah,37
2024-06,Vermont,2
2024-06,Virginia,808
2024-06,Washington,279
2024-06,West Virginia,1
2024-06,Wisconsin,9
2024-06,Wyoming,152
2024-07,Unknown,855
2024-07,Alabama,6
2024-07,Arizona,24
2024-07,Arkansas,4
2024-07,California,595
2024-07,Colorado,137
2024-07,Connecticut,11
2024-07,Delaware,9
2024-07,District of Columbia,73
2024-07,Florida,126
2024-07,Georgia,42
2024-07,Hawaii,7
2024-07,Idaho,8
2024-07,Illinois,84
2024-07,Indiana,13
2024-07,Iowa,1956
2024-07,Kansas,2
2024-07,Kentucky,10
2024-07,Louisiana,11
2024-07,Maine,5
2024-07,Maryland,28
2024-07,Massachusetts,30
2024-07,Michigan,34
2024-07,Minnesota,25
2024-07,Mississippi,3
2024-07,Missouri,19
2024-07,Montana,1
2024-07,Nebraska,5
2024-07,Nevada,38
2024-07,New Hampshire,6
2024-07,New Jersey,91
2024-07,New Mexico,1
2024-07,New York,240
2024-07,North Carolina,292
2024-07,Ohio,55
2024-07,Oklahoma,12
2024-07,Oregon,276
2024-07,Pennsylvania,48
2024-07,Rhode Island,3
2024-07,South Carolina,28
2024-07,South Dakota,1
2024-07,Tennessee,13
2024-07,Texas,291
2024-07,Utah,22
2024-07,Vermont,4
2024-07,Virginia,605
2024-07,Washington,195
2024-07,Wisconsin,5
2024-07,Wyoming,115
2024-08,Unknown,1130
2024-08,Alabama,13
2024-08,Alaska,1
2024-08,Arizona,33
2024-08,Arkansas,5
2024-08,California,711
2024-08,Colorado,114
2024-08,Connecticut,12
2024-08,Delaware,8
2024-08,District of Columbia,58
2024-08,Florida,176
2024-08,Georgia,43
2024-08,Hawaii,20
2024-08,Idaho,2
2024-08,Illinois,106
2024-08,Indiana,30
2024-08,Iowa,2911
2024-08,Kansas,10
2024-08,Kentucky,28
2024-08,Louisiana,12
2024-08,Maine,9
2024-08,Maryland,23
2024-08,Massachusetts,56
2024-08,Michigan,42
2024-08,Minnesota,40
2024-08,Mississippi,2
2024-08,Missouri,25
2024-08,Montana,4
2024-08,Nebraska,8
2024-08,Nevada,29
2024-08,New Hampshire,4
2024-08,New Jersey,79
2024-08,New Mexico,3
2024-08,New York,361
2024-08,North Carolina,263
2024-08,North Dakota,4
2024-08,Ohio,43
2024-08,Oklahoma,21
2024-08,Oregon,652
2024-08,Pennsylvania,65
2024-08,Rhode Island,17
2024-08,South Carolina,52
2024-08,South Dakota,1
2024-08,Tennessee,29
2024-08,Texas,309
2024-08,Utah,25
2024-08,Vermont,3
2024-08,Virginia,760
2024-08,Washington,204
2024-08,West Virginia,1
2024-08,Wisconsin,17
2024-08,Wyoming,108
2024-09,Unknown,818
2024-09,Alabama,5
2024-09,Arizona,32
2024-09,Arkansas,3
2024-09,California,806
2024-09,Colorado,64
2024-09,Connecticut,17
2024-09,Delaware,5
2024-09,District of Columbia,107
2024-09,Florida,106
2024-09,Georgia,37
2024-09,Hawaii,5
2024-09,Idaho,6
2024-09,Illinois,121
2024-09,Indiana,14
2024-09,Iowa,2810
2024-09,Kansas,4
2024-09,Kentucky,11
2024-09,Louisiana,6
2024-09,Maine,11
2024-09,Maryland,12
2024-09,Massachusetts,53
2024-09,Michigan,20
2024-09,Minnesota,40
2024-09,Mississippi,4
2024-09,Missouri,21
2024-09,Montana,2
2024-09,Nebraska,5
2024-09,Nevada,17
2024-09,New Hampshire,8
2024-09,New Jersey,54
2024-09,New Mexico,7
2024-09,New York,359
2024-09,North Carolina,357
2024-09,North Dakota,2
2024-09,Ohio,114
2024-09,Oklahoma,9
2024-09,Oregon,217
2024-09,Pennsylvania,45
2024-09,Rhode Island,4
2024-09,South Carolina,39
2024-09,Tennessee,26
2024-09,Texas,599
2024-09,Utah,16
2024-09,Vermont,8
2024-09,Virginia,1223
2024-09,Washington,505
2024-09,Wisconsin,14
2024-09,Wyoming,305
2024-10,Unknown,397
2024-10,Alabama,10
2024-10,Arizona,41
2024-10,Arkansas,6
2024-10,California,782
2024-10,Colorado,45
2024-10,Connecticut,36
2024-10,Delaware,5
2024-10,District of Columbia,38
2024-10,Florida,157
2024-10,Georgia,85
2024-10,Hawaii,4
2024-10,Illinois,72
2024-10,Indiana,9
2024-10,Iowa,2061
2024-10,Kansas,16
2024-10,Kentucky,13
2024-10,Louisiana,13
2024-10,Maine,14
2024-10,Maryland,21
2024-10,Massachusetts,47
2024-10,Michigan,26
2024-10,Minnesota,25
2024-10,Mississippi,5
2024-10,Missouri,32
2024-10,Montana,3
2024-10,Nebraska,7
2024-10,Nevada,22
2024-10,New Hampshire,18
2024-10,New Jersey,68
2024-10,New Mexico,30
2024-10,New York,432
2024-10,North Carolina,623
2024-10,North Dakota,1
2024-10,Ohio,63
2024-10,Oklahoma,11
2024-10,Oregon,495
2024-10,Pennsylvania,74
2024-10,Rhode Island,5
2024-10,South Carolina,11
2024-10,South Dakota,2
2024-10,Tennessee,23
2024-10,Texas,576
2024-10,Utah,16
2024-10,Vermont,1
2024-10,Virginia,1136
2024-10,Washington,372
2024-10,West Virginia,1
2024-10,Wisconsin,40
2024-10,Wyoming,206
2024-11,Unknown,457
2024-11,Alabama,16
2024-11,Alaska,2
2024-11,Arizona,31
2024-11,Arkansas,7
2024-11,California,808
2024-11,Colorado,29
2024-11,Connecticut,12
2024-11,Delaware,5
2024-11,District of Columbia,35
2024-11,Florida,145
2024-11,Georgia,49
2024-11,Hawaii,7
2024-11,Idaho,6
2024-11,Illinois,100
2024-11,Indiana,19
2024-11,Iowa,3336
2024-11,Kansas,7
2024-11,Kentucky,6
2024-11,Louisiana,12
2024-11,Maine,5
2024-11,Maryland,27
2024-11,Massachusetts,53
2024-11,Michigan,36
2024-11,Minnesota,25
2024-11,Missouri,33
2024-11,Nebraska,12
2024-11,Nevada,34
2024-11,New Hampshire,7
2024-11,New Jersey,77
2024-11,New Mexico,12
2024-11,New York,468
2024-11,North Carolina,560
2024-11,North Dakota,3
2024-11,Ohio,65
2024-11,Oklahoma,14
2024-11,Oregon,607
2024-11,Pennsylvania,69
2024-11,Rhode Island,4
2024-11,South Carolina,20
2024-11,Tennessee,24
2024-11,Texas,635
2024-11,Utah,20
2024-11,Vermont,5
