month,state,city,sessions
2024-06,Unknown,Unknown,1078
2024-06,Alabama,Albertville,1
2024-06,Alabama,Birmingham,2
2024-06,Alabama,Huntsville,2
2024-06,Alabama,Lanett,1
2024-06,Alabama,Roanoke,2
2024-06,Arizona,Unknown,1
2024-06,Arizona,Chandler,1
2024-06,Arizona,Gilbert,1
2024-06,Arizona,Globe,1
2024-06,Arizona,Mesa,3
2024-06,Arizona,Phoenix,15
2024-06,Arizona,Scottsdale,2
2024-06,Arizona,Show Low,1
2024-06,Arizona,Tucson,2
2024-06,Arkansas,Bella Vista,1
2024-06,Arkansas,Conway,1
2024-06,Arkansas,Little Rock,1
2024-06,California,Unknown,7
2024-06,California,Alameda,1
2024-06,California,Albany,1
2024-06,California,Alhambra,1
2024-06,California,Anaheim,2
2024-06,California,Antioch,1
2024-06,California,Azusa,2
2024-06,California,Bakersfield,2
2024-06,California,Berkeley,2
2024-06,California,Carlsbad,1
2024-06,California,Castro Valley,2
2024-06,California,Chino Hills,1
2024-06,California,Chula Vista,1
2024-06,California,Concord,1
2024-06,California,Copperopolis,1
2024-06,California,Corona,61
2024-06,California,Costa Mesa,4
2024-06,California,Danville,1
2024-06,California,East Los Angeles,20
2024-06,California,Elk Grove,1
2024-06,California,Emeryville,2
2024-06,California,Folsom,1
2024-06,California,Fremont,10
2024-06,California,Fresno,2
2024-06,California,Fullerton,2
2024-06,California,Gardena,1
2024-06,California,Glendale,1
2024-06,California,Hayward,1
2024-06,California,Hesperia,1
2024-06,California,Irvine,9
2024-06,California,Laguna Beach,2
2024-06,California,Livermore,2
2024-06,California,Long Beach,5
2024-06,California,Los Angeles,327
2024-06,California,Malibu,2
2024-06,California,Marina del Rey,1
2024-06,California,Milpitas,1
2024-06,California,Mission Viejo,3
2024-06,California,Mountain View,1
2024-06,California,North Hollywood,6
2024-06,California,Northridge,1
2024-06,California,Oakhurst,1
2024-06,California,Oakland,6
2024-06,California,Palm Desert,1
2024-06,California,Palmdale,1
2024-06,California,Palo Alto,1
2024-06,California,Pasadena,5
2024-06,California,Poway,1
2024-06,California,Redondo Beach,3
2024-06,California,Rialto,2
2024-06,California,Richmond,2
2024-06,California,Roseville,1
2024-06,California,Rowland Heights,1
2024-06,California,Sacramento,4
2024-06,California,San Bruno,1
2024-06,California,San Diego,14
2024-06,California,San Francisco,63
2024-06,California,San Gabriel,1
2024-06,California,San Jose,134
2024-06,California,San Mateo,17
2024-06,California,San Pablo,1
2024-06,California,San Rafael,1
2024-06,California,Santa Barbara,1
2024-06,California,Santa Clara,5
2024-06,California,Santa Cruz,1
2024-06,California,Santa Monica,2
2024-06,California,Shafter,1
2024-06,California,Sherman Oaks,1
2024-06,California,South Pasadena,1
2024-06,California,Suisun,1
2024-06,California,Sylmar,4
2024-06,California,Torrance,1
2024-06,California,Valencia,1
2024-06,California,Valley Center,1
2024-06,California,Visalia,1
2024-06,California,West Hollywood,1
2024-06,California,Westminster,1
2024-06,California,Wilmington,1
2024-06,California,Yuba City,4
2024-06,Colorado,Unknown,1
2024-06,Colorado,Aspen,1
2024-06,Colorado,Aurora,1
2024-06,Colorado,Boulder,2
2024-06,Colorado,Castle Rock,1
2024-06,Colorado,Cedaredge,1
2024-06,Colorado,Colorado Springs,23
2024-06,Colorado,Denver,19
2024-06,Colorado,Dillon,2
2024-06,Colorado,Golden,1
